number of syllables per word, as evaluated by my rule system (previous version)


SEPARATED WORDS: 
2 survive 
1 lift 
2 border 
4 competition 
1 jump 
2 gather 
2 limit 
1 fit 
1 claim 
1 cry 
3 equipment 
1 worth 
3 associate 
2 critic 
1 warm 
2 aspect 
2 result 
2 insist 
2 failure 
2 annual 
1 french 
2 christmas 
2 comment 
4 responsible 
2 affair 
2 approach 
2 until 
3 procedure 
3 regular 
1 spread 
2 chairman 
2 baseball 
1 soft 
2 ignore 
1 egg 
2 measure 
2 belief 
3 demonstrate 
4 anybody 
2 murder 
1 gift 
3 religion 
2 review 
3 editor 
1 past 
2 engage 
1 coffee 
3 document 
2 speed 
1 cross 
2 influence 
3 anyway 
2 threaten 
2 commit 
2 female 
1 youth 
1 wave 
1 move 
2 afraid 
2 quarter 
2 background 
2 native 
1 broad 
3 wonderful 
2 deny 
4 apparently 
2 slightly 
2 reaction 
1 twice 
1 suit 
3 perspective 
2 growing 
1 blow 
3 construction 
1 kind 
4 intelligence 
2 destroy 
1 cook 
3 connection 
1 charge 
1 burn 
1 shoe 
1 view 
1 grade 
2 context 
2 committee 
1 hey 
2 mistake 
2 focus 
1 smile 
3 location 
2 clothes 
2 indian 
1 quiet 
1 dress 
2 promise 
2 aware 
2 neighbor 
2 complete 
1 drive 
2 function 
1 bone 
2 active 
2 extend 
1 chief 
3 average 
2 combine 
1 wine 
2 below 
1 cool 
2 voter 
1 mean 
2 demand 
2 learning 
1 bus 
1 hell 
3 dangerous 
2 remind 
2 moral 
4 united 
3 category 
4 relatively 
3 victory 
1 key 
3 academic 
2 visit 
3 internet 
2 healthy 
1 fire 
3 negative 
3 following 
4 historical 
3 medicine 
1 tour 
2 depend 
2 photo 
2 finding 
1 grab 
2 direct 
2 classroom 
2 contact 
2 justice 
4 participate 
2 daily 
1 fair 
1 pair 
2 famous 
3 exercise 
1 knee 
2 flower 
1 tape 
1 hire 
3 familiar 
3 appropriate 
2 supply 
2 fully 
1 cut 
1 will 
2 actor 
1 birth 
1 search 
1 tie 
4 democracy 
2 eastern 
3 primary 
3 yesterday 
2 circle 
2 device 
2 progress 
1 next 
1 front 
2 bottom 
2 island 
2 exchange 
1 clean 
2 studio 
1 train 
2 lady 
2 colleague 
4 application 
1 neck 
1 lean 
2 damage 
2 plastic 
1 tall 
1 plate 
1 hate 
3 otherwise 
2 writing 
1 press 
1 male 
1 start 
2 alive 
3 expression 
2 football 
2 intend 
2 attack 
2 chicken 
2 army 
2 abuse 
2 theater 
1 shut 
1 map 
2 extra 
2 session 
2 danger 
2 welcome 
4 domestic 
1 lots 
4 literature 
1 rain 
2 desire 
3 assessment 
3 injury 
2 respect 
2 northern 
1 nod 
1 paint 
1 fuel 
1 leaf 
2 direct 
1 dry 
2 russian 
3 instruction 
1 fight 
1 pool 
1 climb 
1 sweet 
1 lead 
2 engine 
1 fourth 
1 salt 
2 expand 
3 importance 
2 metal 
1 fat 
2 ticket 
2 software 
3 disappear 
3 corporate 
1 strange 
1 lip 
2 reading 
2 urban 
2 mental 
4 increasingly 
1 lunch 
5 educational 
3 somewhere 
2 farmer 
2 above 
2 sugar 
2 planet 
3 favorite 
2 explore 
2 obtain 
2 enemy 
3 greatest 
2 complex 
2 surround 
2 athlete 
2 invite 
2 repeat 
3 carefully 
1 soul 
3 scientific 
4 impossible 
2 panel 
2 meaning 
1 mom 
2 married 
2 alone 
3 instrument 
2 predict 
2 weather 
4 presidential 
4 emotional 
3 commitment 
2 supreme 
1 bear 
2 pocket 
1 thin 
4 temperature 
2 surprise 
1 poll 
3 proposal 
3 consequence 
1 half 
1 breath 
1 sight 
2 cover 
2 balance 
2 adopt 
4 minority 
1 straight 
2 attempt 
2 connect 
1 works 
2 teaching 
2 belong 
1 aid 
2 advice 
2 okay 
3 photograph 
2 empty 
3 regional 
1 trail 
2 novel 
1 code 
2 somehow 
3 organize 
2 jury 
1 breast 
3 iraqi 
2 human 
3 acknowledge 
1 theme 
1 storm 
2 union 
2 record 
1 desk 
1 fear 
1 thanks 
1 fruit 
2 under 
3 expensive 
2 yellow 
3 conclusion 
1 prime 
2 shadow 
2 struggle 
2 conclude 
3 analyst 
1 dance 
2 limit 
1 like 
4 regulation 
1 being 
1 last 
1 ring 
3 largely 
1 shift 
1 revenue 
1 mark 
2 locate 
2 county 
3 appearance 
2 package 
4 difficulty 
1 bridge 
3 recommend 
2 obvious 
1 train 
4 basically 
3 generate 
3 anymore 
2 propose 
2 thinking 
3 possibly 
1 trend 
3 visitor 
1 loan 
3 currently 
4 comfortable 
3 investor 
1 but 
2 profit 
2 angry 
1 crew 
1 deep 
3 accident 
1 male 
1 meal 
2 hearing 
2 traffic 
2 muscle 
2 notion 
2 capture 
2 prefer 
2 truly 
1 earth 
3 japanese 
1 chest 
1 search 
1 thick 
1 cash 
2 museum 
2 beauty 
4 emergency 
2 unique 
2 feature 
3 internal 
2 ethnic 
1 link 
1 stress 
2 content 
2 select 
1 root 
1 nose 
2 declare 
2 outside 
3 appreciate 
2 actual 
2 bottle 
2 hardly 
2 setting 
1 launch 
1 dress 
1 file 
1 sick 
2 outcome 
1 ad 
2 defend 
2 matter 
1 judge 
2 duty 
1 sheet 
1 ought 
2 ensure 
3 catholic 
3 extremely 
2 extent 
3 component 
1 mix 
1 slow 
2 contrast 
1 zone 
1 wake 
2 challenge 
2 airport 
1 chief 
1 brown 
2 standard 
1 shirt 
2 pilot 
1 warn 
4 ultimately 
1 cat 
4 contribution 
4 capacity 
2 ourselves 
2 estate 
1 guide 
3 circumstance 
1 snow 
2 english 
4 politician 
1 steal 
1 pursue 
1 slip 
3 percentage 
1 meat 
2 funny 
2 neither 
1 soil 
2 influence 
3 surgery 
2 correct 
2 jewish 
1 blame 
3 estimate 
1 due 
3 basketball 
1 late 
1 golf 
4 investigate 
2 crazy 
5 significantly 
1 chain 
2 address 
1 branch 
4 combination 
1 just 
3 frequently 
3 governor 
2 relief 
2 user 
1 dad 
1 kick 
1 part 
2 manner 
2 ancient 
2 silence 
2 rating 
2 golden 
2 motion 
2 german 
2 gender 
1 solve 
1 fee 
2 landscape 
2 used 
1 bowl 
2 equal 
1 long 
3 official 
1 forth 
1 frame 
3 typical 
2 except 
4 conservative 
4 eliminate 
1 host 
1 hall 
1 trust 
2 ocean 
1 score 
1 row 
3 producer 
2 afford 
2 meanwhile 
2 regime 
3 division 
2 confirm 
1 fix 
2 appeal 
2 mirror 
1 tooth 
1 smart 
1 length 
3 entirely 
2 rely 
2 topic 
2 complain 
1 issue 
3 variable 
1 back 
1 range 
3 telephone 
3 perception 
2 attract 
3 confidence 
2 bedroom 
2 secret 
1 debt 
1 rare 
1 his 
1 tank 
1 nurse 
3 coverage 
4 opposition 
2 aside 
3 anywhere 
1 bond 
1 file 
2 pleasure 
2 master 
2 era 
3 requirement 
1 check 
1 stand 
1 fun 
4 expectation 
1 wing 
3 separate 
1 now 
1 clear 
2 struggle 
1 mean 
3 somewhat 
1 pour 
1 stir 
2 judgment 
1 clean 
2 except 
1 beer 
2 english 
3 reference 
1 tear 
1 doubt 
1 grant 
3 seriously 
2 account 
3 minister 
3 totally 
2 hero 
3 industrial 
1 cloud 
1 stretch 
2 winner 
2 volume 
2 travel 
2 seed 
3 surprised 
1 rest 
2 fashion 
2 pepper 
3 separate 
2 busy 
4 intervention 
2 copy 
1 tip 
2 below 
1 cheap 
1 aim 
1 cite 
2 welfare 
3 vegetable 
1 gray 
1 dish 
1 beach 
3 improvement 
4 everywhere 
2 opening 
3 overall 
2 divide 
3 initial 
3 terrible 
2 oppose 
5 contemporary 
1 route 
3 multiple 
3 essential 
2 question 
1 league 
3 criminal 
2 careful 
1 core 
2 upper 
1 rush 
6 necessarily 
5 specifically 
2 tired 
1 rise 
1 tie 
2 employ 
3 holiday 
1 dance 
1 vast 
4 resolution 
2 household 
2 fewer 
3 abortion 
2 apart 
2 witness 
1 match 
2 barely 
2 sector 
5 representative 
1 lack 
2 beneath 
2 beside 
1 black 
3 incident 
4 limited 
1 proud 
1 flow 
3 faculty 
3 increased 
1 waste 
2 merely 
1 mass 
3 emphasize 
4 experiment 
4 definitely 
1 bomb 
3 enormous 
1 tone 
3 liberal 
2 massive 
3 engineer 
1 wheel 
2 female 
2 decline 
2 invest 
2 promise 
2 cable 
2 towards 
2 expose 
2 rural 
1 aids 
1 jew 
2 narrow 
1 cream 
4 secretary 
1 gate 
2 solid 
1 hill 
4 typically 
1 noise 
1 grass 
5 unfortunately 
1 hat 
4 legislation 
3 succeed 
2 either 
3 celebrate 
3 achievement 
2 fishing 
1 drink 
2 accuse 
1 hand 
2 useful 
1 land 
2 secret 
2 reject 
2 talent 
1 taste 
5 characteristic 
1 milk 
2 escape 
1 cast 
2 sentence 
3 unusual 
2 closely 
2 convince 
1 height 
3 physician 
2 assess 
1 sleep 
2 plenty 
1 ride 
3 virtually 
1 first 
3 addition 
1 sharp 
2 creative 
2 lower 
2 behind 
2 approve 
4 explanation 
2 outside 
1 gay 
2 campus 
2 proper 
1 live 
2 guilty 
2 living 
2 acquire 
2 compete 
3 technical 
1 plus 
1 mind 
3 potential 
3 immigrant 
1 weak 
3 illegal 
1 hi 
4 alternative 
4 interaction 
2 column 
5 personality 
2 signal 
4 curriculum 
1 list 
2 honor 
3 passenger 
3 assistance 
2 forever 
1 fun 
2 regard 
3 israeli 
4 association 
2 twenty 
1 knock 
2 review 
1 wrap 
1 lab 
2 offer 
2 display 
3 criticism 
2 asset 
3 depression 
3 spiritual 
3 musical 
3 journalist 
1 prayer 
2 suspect 
2 scholar 
2 warning 
2 climate 
1 cheese 
4 observation 
2 childhood 
2 payment 
1 sir 
2 permit 
3 cigarette 
4 definition 
3 priority 
1 bread 
2 creation 
2 graduate 
2 request 
3 emotion 
1 scream 
3 dramatic 
3 universe 
1 gap 
3 excellent 
2 deeply 
3 prosecutor 
1 mark 
1 green 
2 lucky 
1 drag 
2 airline 
3 library 
3 agenda 
3 recover 
3 factory 
3 selection 
4 primarily 
1 roof 
3 unable 
2 expense 
4 initiative 
1 diet 
2 arrest 
2 funding 
3 therapy 
1 wash 
2 schedule 
1 sad 
1 brief 
